,Player,dob,year,month,day,trimestre,Deporte
39708,Martynas Linkevicius,"Dec 8, 1985",1985,12,8,4,Baloncesto
39713,Alex Hernandez,"Feb 12, 1990",1990,2,12,1,Baloncesto
39733,Oliver Vujakovic,"Dec 5, 1996",1996,12,5,4,Baloncesto
39752,Max Hilger,"Feb 22, 1995",1995,2,22,1,Baloncesto
39780,Anderson Borbon De Leon,"Sep 22, 1993",1993,9,22,3,Baloncesto
39783,Denis Pleimling,"Jan 2, 1995",1995,1,2,1,Baloncesto
39786,Claude Bemtgen,"Aug 22, 1989",1989,8,22,3,Baloncesto
39787,Yorick Melchior,"Sep 10, 1998",1998,9,10,3,Baloncesto
39788,Ben Goergen,"Oct 28, 1994",1994,10,28,4,Baloncesto
39789,Frank Schaeffer,"May 16, 1991",1991,5,16,2,Baloncesto
39790,Oliver Philip Jack,"Oct 19, 2000",2000,10,19,4,Baloncesto
39791,Alexandre Caurla,"Jan 19, 1993",1993,1,19,1,Baloncesto
39793,Eric Wagner,"Jan 24, 1995",1995,1,24,1,Baloncesto
39795,Yann Fux,"Oct 12, 1990",1990,10,12,4,Baloncesto
39796,Yannick Kocks,"Aug 30, 1988",1988,8,30,3,Baloncesto
39798,Chris Muller,"Apr 21, 1991",1991,4,21,2,Baloncesto
39799,Philippe Oly,"Aug 14, 1995",1995,8,14,3,Baloncesto
39805,Ivan Miskovic,"Apr 9, 1984",1984,4,9,2,Baloncesto
39823,Gjorgi Anakievski,"Mar 20, 1985",1985,3,20,1,Baloncesto
39824,Gjorgij Chekovski,"Dec 11, 1979",1979,12,11,4,Baloncesto
39825,Emir Zimic,"Jun 4, 1986",1986,6,4,2,Baloncesto
39832,Martin Shalev,"Mar 9, 1996",1996,3,9,1,Baloncesto
39838,Damjan Stojmenov,"Apr 9, 1997",1997,4,9,2,Baloncesto
39839,Remi Barry,"Aug 27, 1991",1991,8,27,3,Baloncesto
39840,Hristijan Ristov,"Sep 26, 1987",1987,9,26,3,Baloncesto
39841,Dimitar Ilievski,"Oct 31, 1995",1995,10,31,4,Baloncesto
39843,Petre Cvetkov,"Dec 13, 1984",1984,12,13,4,Baloncesto
39845,Milan Milkov,"Dec 19, 1996",1996,12,19,4,Baloncesto
39852,Jasmin Biberovik,"Oct 27, 1993",1993,10,27,4,Baloncesto
39853,Branko Janeski,"Mar 19, 1987",1987,3,19,1,Baloncesto
39855,Nikola Kicev,"Apr 6, 1998",1998,4,6,2,Baloncesto
39858,Ilija Ristovski,"Dec 29, 1993",1993,12,29,4,Baloncesto
39863,Slobodan Mihajloski,"Feb 23, 1982",1982,2,23,1,Baloncesto
39866,Stojan Gjuroski,"Nov 6, 1991",1991,11,6,4,Baloncesto
39882,Juan Toscano-Anderson,"Mar 10, 1993",1993,3,10,1,Baloncesto
39890,Juan Coronado,"Aug 25, 1983",1983,8,25,3,Baloncesto
39909,Kleon Penn,"Sep 1, 1986",1986,9,1,3,Baloncesto
39911,Idris Dawud Alvarado,"Oct 19, 1991",1991,10,19,4,Baloncesto
39912,Wilfredo Pagan,"Aug 22, 1976",1976,8,22,3,Baloncesto
39927,Jesus Lopez,"Dec 28, 1983",1983,12,28,4,Baloncesto
39931,Alexis Cervantes,"Oct 24, 1988",1988,10,24,4,Baloncesto
39934,Chris Gaston,"Apr 20, 1989",1989,4,20,2,Baloncesto
39937,Christopher Silva,"Feb 19, 1982",1982,2,19,1,Baloncesto
40030,Dirk Nowitzki,"Jun 19, 1978",1978,6,19,2,Baloncesto
40131,Dragan Bender,"Nov 17, 1997",1997,11,17,4,Baloncesto
40180,Ian Mahinmi,"Nov 5, 1986",1986,11,5,4,Baloncesto
40206,Salah Mejri,"Jun 15, 1986",1986,6,15,2,Baloncesto
40322,Dante Exum,"Jul 13, 1995",1995,7,13,3,Baloncesto
40327,Manu Ginobili,"Jul 28, 1977",1977,7,28,3,Baloncesto
40343,Maybyner Nene,"Sep 13, 1982",1982,9,13,3,Baloncesto
40346,Pau Gasol,"Jul 6, 1980",1980,7,6,3,Baloncesto
40355,Jose Calderon,"Sep 28, 1981",1981,9,28,3,Baloncesto
40387,Norville Carey,"Aug 3, 1993",1993,8,3,3,Baloncesto
40388,Tjoe de Paula,"Feb 15, 1981",1981,2,15,1,Baloncesto
40398,Max Van Schaik,"Jun 28, 1991",1991,6,28,2,Baloncesto
40409,Olaf Schaftenaar,"May 15, 1993",1993,5,15,2,Baloncesto
40412,Akeel Eduardo,"Jan 10, 1993",1993,1,10,1,Baloncesto
40419,Niels Bunschoten,"Oct 1, 1994",1994,10,1,4,Baloncesto
40420,Jacco Fritz,"Sep 10, 2000",2000,9,10,3,Baloncesto
40422,Kees Akerboom,"Dec 20, 1983",1983,12,20,4,Baloncesto
40423,Dyon Halman,"Nov 17, 1994",1994,11,17,4,Baloncesto
40426,Tom Koopman,"Jun 23, 1995",1995,6,23,2,Baloncesto
40428,Leroy Peterson,"May 9, 1993",1993,5,9,2,Baloncesto
40435,Damon Heuir,"May 21, 1991",1991,5,21,2,Baloncesto
40437,Kyle Adnam,"Nov 18, 1993",1993,11,18,4,Baloncesto
40443,Finn Delany,"Aug 12, 1995",1995,8,12,3,Baloncesto
40444,Majok Majok,"Dec 10, 1992",1992,12,10,4,Baloncesto
40454,Lindsay Tait,"Jan 8, 1982",1982,1,8,1,Baloncesto
40463,James Hunter,"Jun 19, 1992",1992,6,19,2,Baloncesto
40465,Shaun Bruce,"Jan 13, 1991",1991,1,13,1,Baloncesto
40481,Dillon Boucher,"Dec 27, 1975",1975,12,27,4,Baloncesto
40482,Bronson Beri,"Jun 26, 1989",1989,6,26,2,Baloncesto
40483,Callum McRae,"May 18, 1999",1999,5,18,2,Baloncesto
40495,Aksel Bolin,"Nov 17, 1990",1990,11,17,4,Baloncesto
40500,Mikal Gjerde,"Nov 6, 2000",2000,11,6,4,Baloncesto
40502,Keith Omoerah,"Mar 2, 1992",1992,3,2,1,Baloncesto
40508,Nikola Blatancic,"Jul 2, 1994",1994,7,2,3,Baloncesto
40512,Karlis Helmanis,"Oct 13, 1997",1997,10,13,4,Baloncesto
40517,Edmunds Gabrans,"Jan 25, 1979",1979,1,25,1,Baloncesto
40520,Aslak Smalas,"Mar 11, 1989",1989,3,11,1,Baloncesto
40521,Reno Silavs,"Aug 25, 1991",1991,8,25,3,Baloncesto
40522,Nikolas Phillip,"Dec 12, 1990",1990,12,12,4,Baloncesto
40523,Henry McCarthy,"Nov 1, 1991",1991,11,1,4,Baloncesto
40524,Torvald Kambestad,"Dec 9, 1996",1996,12,9,4,Baloncesto
40530,Alexander Nes Fredheim,"Mar 19, 1994",1994,3,19,1,Baloncesto
40531,Daniel Berg,"Sep 14, 1986",1986,9,14,3,Baloncesto
40532,Thomas Vangen,"Jun 21, 1979",1979,6,21,2,Baloncesto
40535,Lars Oscar Granath,"Aug 31, 1995",1995,8,31,3,Baloncesto
40537,Ruzh Baleros,"Feb 12, 1996",1996,2,12,1,Baloncesto
40538,Emil Unkovic Hoel,"Oct 23, 1994",1994,10,23,4,Baloncesto
40539,Peder Frantzvaag,"Feb 14, 1998",1998,2,14,1,Baloncesto
40543,Ivan Almeida,"May 10, 1989",1989,5,10,2,Baloncesto
40582,Ihor Zaytsev,"May 11, 1989",1989,5,11,2,Baloncesto
40589,Marcin Flieger,"Mar 7, 1984",1984,3,7,1,Baloncesto
40591,Jakub Dloniak,"Oct 29, 1983",1983,10,29,4,Baloncesto
40592,Lukasz Wisniewski,"Dec 7, 1984",1984,12,7,4,Baloncesto
40606,Uros Mirkovic,"Jan 11, 1982",1982,1,11,1,Baloncesto
40616,Piotr Szczotka,"Jun 17, 1981",1981,6,17,2,Baloncesto
40617,Davis Lejasmeiers,"Apr 8, 1991",1991,4,8,2,Baloncesto
40620,Krzysztof Jakobczyk,"Dec 3, 1986",1986,12,3,4,Baloncesto
40625,Marcin Sroka,"Mar 20, 1981",1981,3,20,1,Baloncesto
40626,Marcin Salamonik,"Feb 13, 1983",1983,2,13,1,Baloncesto
40631,Witalij Kowalenko,"Apr 12, 1984",1984,4,12,2,Baloncesto
40634,Jakub Patoka,"Feb 2, 1994",1994,2,2,1,Baloncesto
40639,Thomas Kelati,"Sep 27, 1982",1982,9,27,3,Baloncesto
40640,Grzegorz Kukielka,"Feb 20, 1983",1983,2,20,1,Baloncesto
40643,Tomasz Andrzejewski,"Oct 26, 1979",1979,10,26,4,Baloncesto
40646,Mantas Cesnauskis,"Jul 22, 1981",1981,7,22,3,Baloncesto
40649,Lukasz Wilczek,"May 11, 1986",1986,5,11,2,Baloncesto
40650,Lukasz Seweryn,"Oct 26, 1982",1982,10,26,4,Baloncesto
40651,Przemyslaw Szymanski,"Nov 17, 1984",1984,11,17,4,Baloncesto
40657,Piotr Stelmach,"Feb 23, 1984",1984,2,23,1,Baloncesto
40663,Lukasz Bonarek,"Aug 14, 1993",1993,8,14,3,Baloncesto
40664,Pawel Zmarlak,"Sep 7, 1982",1982,9,7,3,Baloncesto
40666,Laimonas Chatkevicius,"Jan 7, 1993",1993,1,7,1,Baloncesto
40667,Jakub Parzenski,"Dec 3, 1991",1991,12,3,4,Baloncesto
40668,Seid Hajric,"Jun 5, 1983",1983,6,5,2,Baloncesto
40669,Duane Notice,"Sep 7, 1994",1994,9,7,3,Baloncesto
40696,Pavel Marinov,"Jun 12, 1988",1988,6,12,2,Baloncesto
40704,Cornel Cioacata,"Apr 1, 1992",1992,4,1,2,Baloncesto
40709,Radu Paliciuc,"Sep 13, 1988",1988,9,13,3,Baloncesto
40710,Marko Pavlovic,"Sep 12, 1986",1986,9,12,3,Baloncesto
40717,Nicolae-Bogdan Nicolescu,"Jan 3, 1997",1997,1,3,1,Baloncesto
40719,Ionut Dragusin,"Nov 13, 1985",1985,11,13,4,Baloncesto
40721,Mike Balogun,"May 7, 1991",1991,5,7,2,Baloncesto
40722,Norbert Steff,"Nov 17, 1995",1995,11,17,4,Baloncesto
40725,Robert Medgyesi,"Aug 14, 1995",1995,8,14,3,Baloncesto
40728,Sinisa Cvetanovic,"Jun 4, 1994",1994,6,4,2,Baloncesto
40729,Bogdan Stancut,"Feb 25, 1987",1987,2,25,1,Baloncesto
40730,Florin Popa,"Apr 13, 1987",1987,4,13,2,Baloncesto
40732,Alin Ionut Zaharie,"Feb 2, 1994",1994,2,2,1,Baloncesto
40735,Constantin Amarghioalei,"Mar 30, 1986",1986,3,30,1,Baloncesto
40736,Matei Nuna,"Jul 7, 1991",1991,7,7,3,Baloncesto
40739,Stefan Birloveanu,"Aug 4, 1999",1999,8,4,3,Baloncesto
40743,Liviu Rotariu,"Oct 31, 1993",1993,10,31,4,Baloncesto
40749,Mladen Pavlovic,"Jan 26, 1989",1989,1,26,1,Baloncesto
40750,Aleksandar Mladenovic,"Dec 2, 1984",1984,12,2,4,Baloncesto
40751,Vaidas Kariniauskas,"Nov 16, 1993",1993,11,16,4,Baloncesto
40752,Tiegbe Bamba,"Jan 21, 1991",1991,1,21,1,Baloncesto
40754,Branko Jereminov,"Feb 1, 1987",1987,2,1,1,Baloncesto
40755,Andrei Vizitiu,"Oct 6, 1986",1986,10,6,4,Baloncesto
40757,Dejan Janjic,"Nov 14, 1995",1995,11,14,4,Baloncesto
40781,Vladimir Velickovic,"Feb 3, 1989",1989,2,3,1,Baloncesto
40782,Darko Balaban,"Sep 22, 1989",1989,9,22,3,Baloncesto
40789,Lazar Zorcic,"Jan 22, 1988",1988,1,22,1,Baloncesto
40791,Nemanja Nenadic,"Jan 2, 1994",1994,1,2,1,Baloncesto
40797,Petar Beader,"Jan 14, 1985",1985,1,14,1,Baloncesto
40803,Dejan Pejic,"Sep 25, 1993",1993,9,25,3,Baloncesto
40806,Nemanja Gudzic,"Nov 22, 1990",1990,11,22,4,Baloncesto
40809,Miljan Drekalovic,"May 21, 1991",1991,5,21,2,Baloncesto
40824,Filip Lalovic,"Mar 18, 1986",1986,3,18,1,Baloncesto
40825,Nikola Socanac,"May 8, 1993",1993,5,8,2,Baloncesto
40826,Dusan Ranitovic,"Feb 6, 1995",1995,2,6,1,Baloncesto
40829,Luka Maksimovic,"Jun 10, 1991",1991,6,10,2,Baloncesto
40830,Djordje Savkovic,"Sep 27, 1996",1996,9,27,3,Baloncesto
40832,Rajko Kljajevic,"Feb 10, 1985",1985,2,10,1,Baloncesto
40843,Lazar Kojovic,"Sep 5, 1994",1994,9,5,3,Baloncesto
40846,Mladen Simeunovic,"Nov 20, 1991",1991,11,20,4,Baloncesto
40851,Novica Velickovic,"Oct 5, 1986",1986,10,5,4,Baloncesto
40853,Nebojsa Jovisic,"Apr 29, 1988",1988,4,29,2,Baloncesto
40854,Igor Jevdjenic,"May 30, 1991",1991,5,30,2,Baloncesto
40855,Dejan Majstorovic,"Apr 22, 1988",1988,4,22,2,Baloncesto
40857,Strahinja Mladenovic,"Jan 25, 1992",1992,1,25,1,Baloncesto
40859,Kosta Djordevic,"Feb 23, 1994",1994,2,23,1,Baloncesto
40861,Aleksandar Aranitovic,"Jan 24, 1998",1998,1,24,1,Baloncesto
40862,Ognjen Kuzeta,"Oct 5, 1987",1987,10,5,4,Baloncesto
40864,Svetozar Stamenkovic,"Oct 28, 1990",1990,10,28,4,Baloncesto
40866,Radoslav Rancik,"Oct 6, 1979",1979,10,6,4,Baloncesto
40874,Vuk Djordjevic,"Dec 29, 1991",1991,12,29,4,Baloncesto
40887,Andrej Kuffa,"Oct 29, 1990",1990,10,29,4,Baloncesto
40889,Roman Vido,"Feb 4, 1988",1988,2,4,1,Baloncesto
40899,Martin Bilik,"Jan 15, 1987",1987,1,15,1,Baloncesto
40900,Stefan Matovic,"Jan 3, 1991",1991,1,3,1,Baloncesto
40907,Ivan Zejak,"Oct 2, 1987",1987,10,2,4,Baloncesto
40913,Juraj Hasan,"Sep 20, 1989",1989,9,20,3,Baloncesto
40914,Michal Kozar,"Sep 8, 1990",1990,9,8,3,Baloncesto
40919,Ondrej Haviar,"Nov 2, 1985",1985,11,2,4,Baloncesto
40921,Adam Stefek,"Aug 20, 1993",1993,8,20,3,Baloncesto
40923,Jeremy Landenbergue,"Jul 21, 1993",1993,7,21,3,Baloncesto
40925,Tomas Durana,"Sep 14, 1989",1989,9,14,3,Baloncesto
40944,Mitja Nikolic,"Feb 24, 1991",1991,2,24,1,Baloncesto
40954,Tomaz Bolcina,"Mar 6, 1994",1994,3,6,1,Baloncesto
40967,David Kralj,"Jan 25, 1999",1999,1,25,1,Baloncesto
40970,Nebojsa Joksimovic,"Nov 17, 1981",1981,11,17,4,Baloncesto
40974,Uros Godler,"Aug 20, 1985",1985,8,20,3,Baloncesto
40979,Andraz Rogelija,"Jun 29, 1995",1995,6,29,2,Baloncesto
40980,Jaka Brodnik,"Feb 27, 1992",1992,2,27,1,Baloncesto
40981,Alexander Shashkov,"Feb 26, 2000",2000,2,26,1,Baloncesto
40983,Dragisa Drobnjak,"Nov 5, 1977",1977,11,5,4,Baloncesto
40984,Stipe Modric,"May 8, 1979",1979,5,8,2,Baloncesto
40985,Dejan Milasinovic,"Jan 30, 1989",1989,1,30,1,Baloncesto
40990,Urban Bukovic,"Jun 28, 1992",1992,6,28,2,Baloncesto
40994,Jure Struc,"Jun 12, 1987",1987,6,12,2,Baloncesto
40996,Jan Rizman,"Jun 19, 1994",1994,6,19,2,Baloncesto
40999,Tim Tomazic,"Sep 19, 1999",1999,9,19,3,Baloncesto
41000,Gasper Jordan Rojko,"Jan 21, 1996",1996,1,21,1,Baloncesto
41001,Matic Sirnik,"Jan 28, 1991",1991,1,28,1,Baloncesto
41004,Ilija Zolotic,"Aug 30, 1986",1986,8,30,3,Baloncesto
41005,Luka Grum,"Jan 31, 1992",1992,1,31,1,Baloncesto
41007,Matic Urbas,"Apr 21, 1993",1993,4,21,2,Baloncesto
41008,Matej Krusic,"May 7, 1987",1987,5,7,2,Baloncesto
41010,Timotej Cuk,"Aug 22, 1994",1994,8,22,3,Baloncesto
41012,Rade Lisica,"Aug 4, 1997",1997,8,4,3,Baloncesto
41015,Luka Dimec,"Feb 7, 1990",1990,2,7,1,Baloncesto
41016,Amar Ejup,"Nov 6, 1997",1997,11,6,4,Baloncesto
41017,Vito Furlan,"Aug 2, 1990",1990,8,2,3,Baloncesto
41019,Rene Zvan,"Aug 3, 1987",1987,8,3,3,Baloncesto
41020,Tim Socak,"Jan 8, 2000",2000,1,8,1,Baloncesto
41021,Zeljko Markovic,"Jul 10, 1996",1996,7,10,3,Baloncesto
41022,Alen Mevla,"Sep 13, 1995",1995,9,13,3,Baloncesto
41023,Matevz Mlakar,"Apr 12, 1999",1999,4,12,2,Baloncesto
41025,Tadej Tabak,"Mar 24, 1997",1997,3,24,1,Baloncesto
41027,Ziga Kukanja,"May 9, 1996",1996,5,9,2,Baloncesto
41044,Yeong-Min Douk,"Sep 22, 1991",1991,9,22,3,Baloncesto
41046,Ha Seung-Jin,"Aug 4, 1985",1985,8,4,3,Baloncesto
41058,Junbeom Jeon,"Aug 27, 1991",1991,8,27,3,Baloncesto
41078,Seo Min Su,"Jun 21, 1993",1993,6,21,2,Baloncesto
41087,Jung-Kyu Chun,"Oct 14, 1983",1983,10,14,4,Baloncesto
41089,Jun-Yu Kim,"Jul 16, 1994",1994,7,16,3,Baloncesto
41098,Marko Popovic,"Jun 12, 1982",1982,6,12,2,Baloncesto
41106,Alex Mumbru,"Jun 12, 1979",1979,6,12,2,Baloncesto
41119,Artem Pustovyi,"Jun 25, 1992",1992,6,25,2,Baloncesto
41126,Henk Norel,"Sep 17, 1987",1987,9,17,3,Baloncesto
41163,Goran Suton,"Aug 11, 1985",1985,8,11,3,Baloncesto
41185,Oliver Stevic,"Jan 18, 1984",1984,1,18,1,Baloncesto
41192,Pablo Aguilar,"Feb 9, 1989",1989,2,9,1,Baloncesto
41221,Kevin Seraphin,"Dec 7, 1989",1989,12,7,4,Baloncesto
41232,Nobel Boungou Colo,"Apr 26, 1988",1988,4,26,2,Baloncesto
41234,Marko Lukovic,"May 26, 1992",1992,5,26,2,Baloncesto
41235,Rosco Allen,"May 5, 1993",1993,5,5,2,Baloncesto
41239,Dominik Mavra,"Jun 15, 1994",1994,6,15,2,Baloncesto
41244,Yannick Anzuluni,"Aug 21, 1988",1988,8,21,3,Baloncesto
41252,Tom Liden,"Jul 11, 1987",1987,7,11,3,Baloncesto
41270,Dusan Sisic,"Jul 13, 1990",1990,7,13,3,Baloncesto
41274,Fredrik Larsson,"Dec 10, 1992",1992,12,10,4,Baloncesto
41275,Sango Niang,"Dec 21, 1993",1993,12,21,4,Baloncesto
41277,Mannos Nakos,"Aug 13, 1988",1988,8,13,3,Baloncesto
41280,Thomas Tshikaya,"Jun 16, 1992",1992,6,16,2,Baloncesto
41282,Olle Lundqvist,"Nov 21, 1999",1999,11,21,4,Baloncesto
41284,Rhys Carter,"Mar 14, 1984",1984,3,14,1,Baloncesto
41287,Kristian Heder Ternell,"Mar 19, 1992",1992,3,19,1,Baloncesto
41291,Rickard Eriksson,"Apr 5, 1982",1982,4,5,2,Baloncesto
41303,Murphy Burnatowski,"Jul 18, 1990",1990,7,18,3,Baloncesto
41304,Tyran de Lattibeaudiere,"Jan 25, 1991",1991,1,25,1,Baloncesto
41323,Derek Stockalper,"Mar 4, 1984",1984,3,4,1,Baloncesto
41324,Shaquille Cleare,"Feb 19, 1993",1993,2,19,1,Baloncesto
41327,Raimundas Danys,"Oct 16, 1985",1985,10,16,4,Baloncesto
41337,Jeyvi Miavivululu,"Feb 7, 1990",1990,2,7,1,Baloncesto
41339,Bjorn Schoo,"Jun 30, 1981",1981,6,30,2,Baloncesto
41340,Florian Steinmann,"Apr 13, 1991",1991,4,13,2,Baloncesto
41342,Axel Louissaint,"Jan 3, 1996",1996,1,3,1,Baloncesto
41344,Mansour Kasse,"Jun 28, 1992",1992,6,28,2,Baloncesto
41349,Ismael Ndiaye,"Apr 20, 1982",1982,4,20,2,Baloncesto
41353,Martynas Kairavicius,"May 1, 1998",1998,5,1,2,Baloncesto
41358,Cedric Bonga,"Apr 9, 1985",1985,4,9,2,Baloncesto
41359,Dusan Katnic,"Mar 3, 1989",1989,3,3,1,Baloncesto
41364,Cedric Mafuta,"Nov 10, 1984",1984,11,10,4,Baloncesto
41371,Alessandro Verga,"Feb 22, 1995",1995,2,22,1,Baloncesto
41372,Jona Hoffmann,"Aug 8, 1998",1998,8,8,3,Baloncesto
41373,Leonard Marchand,"Sep 15, 1991",1991,9,15,3,Baloncesto
41454,Chris Obekpa,"Nov 14, 1993",1993,11,14,4,Baloncesto
41458,Tayfun Erulku,"Feb 22, 1994",1994,2,22,1,Baloncesto
41466,Okben Ulubay,"May 25, 1996",1996,5,25,2,Baloncesto
41471,Furkan Aldemir,"Aug 9, 1991",1991,8,9,3,Baloncesto
41474,Ugur Dokuyan,"Mar 5, 1993",1993,3,5,1,Baloncesto
41480,Merthan Mutlu,"May 16, 1994",1994,5,16,2,Baloncesto
41495,Vuk Jovanovic,"Sep 26, 1995",1995,9,26,3,Baloncesto
41505,Michailis Anisimovas,"Oct 11, 1984",1984,10,11,4,Baloncesto
41514,Igor Krivtsov,"Jul 17, 1986",1986,7,17,3,Baloncesto
41521,Vallerii Anisimov,"Jul 25, 1990",1990,7,25,3,Baloncesto
41523,Mykola Vilkhovetskyi,"Apr 1, 1987",1987,4,1,2,Baloncesto
41526,Yevgen Vornik,"Nov 9, 1986",1986,11,9,4,Baloncesto
41528,Stanislav Ovdeenko,"Nov 3, 1984",1984,11,3,4,Baloncesto
41529,Vladyslav Tonchenko,"Apr 6, 1989",1989,4,6,2,Baloncesto
41531,Maxim Nikitin,"Dec 2, 1989",1989,12,2,4,Baloncesto
41536,Artur Drozdov,"Oct 23, 1980",1980,10,23,4,Baloncesto
41537,Bogdan Iasynenko,"Apr 11, 1995",1995,4,11,2,Baloncesto
41538,Artem Slipenchuk,"Nov 28, 1989",1989,11,28,4,Baloncesto
41550,Michael Hicks,"Aug 4, 1976",1976,8,4,3,Baloncesto
41567,Dwight Lewis,"Oct 7, 1987",1987,10,7,4,Baloncesto
41577,Facundo Corvalan,"Sep 10, 1998",1998,9,10,3,Baloncesto
41579,Ignacio Alessio,"Feb 24, 1987",1987,2,24,1,Baloncesto
41593,Joel Anthony,"Aug 9, 1982",1982,8,9,3,Baloncesto
41612,Marco Giordano,"Sep 1, 2000",2000,9,1,3,Baloncesto
41613,Walter Herrmann,"Jun 26, 1979",1979,6,26,2,Baloncesto
41617,Fernando Martina,"May 10, 1981",1981,5,10,2,Baloncesto
41620,Luis Santos,"Dec 6, 1994",1994,12,6,4,Baloncesto
41636,Mateo Bolivar,"Nov 4, 1992",1992,11,4,4,Baloncesto
41642,Jose De Felippo,"Jul 26, 1997",1997,7,26,3,Baloncesto
41646,Cristian Amicucci,"Jul 17, 1985",1985,7,17,3,Baloncesto
41657,Ernesto Zago,"Oct 4, 1985",1985,10,4,4,Baloncesto
41660,Carlos Gianella,"Feb 14, 1978",1978,2,14,1,Baloncesto
41662,Geno Luzcando,"Apr 24, 1995",1995,4,24,2,Baloncesto
41664,Juani Marcos,"Jul 6, 2000",2000,7,6,3,Baloncesto
41665,Fernando Podesta,"Mar 10, 1992",1992,3,10,1,Baloncesto
41666,Juan Esteban De La Fuente,"Nov 17, 2000",2000,11,17,4,Baloncesto
41667,Sebastian Morales,"Jan 26, 1988",1988,1,26,1,Baloncesto
41669,Martin Cabrera,"Jan 19, 1996",1996,1,19,1,Baloncesto
41675,Diego Garcia Salort,"Jun 22, 1992",1992,6,22,2,Baloncesto
41676,Maximiliano Maciel,"Sep 21, 1983",1983,9,21,3,Baloncesto
41678,Maximiliano Stanic,"Dec 2, 1978",1978,12,2,4,Baloncesto
41680,Alejandro Alloatti,"Oct 10, 1983",1983,10,10,4,Baloncesto
41681,Juan Emilio Fernandez,"Apr 30, 1991",1991,4,30,2,Baloncesto
41682,Gaston Essengue,"Oct 10, 1983",1983,10,10,4,Baloncesto
41684,Leandro Garcia-Morales,"Jun 27, 1982",1982,6,27,2,Baloncesto
41688,Bruno Barovero,"Jan 1, 1990",1990,1,1,1,Baloncesto
41690,Luciano Tantos,"Mar 16, 1988",1988,3,16,1,Baloncesto
41836,Mario Spaleta,"Dec 4, 1995",1995,12,4,4,Baloncesto
41841,Joe Scott,"Mar 18, 1988",1988,3,18,1,Baloncesto
41850,Jozo Rados,"Aug 5, 1993",1993,8,5,3,Baloncesto
41861,Luka Nikolic,"Aug 13, 1994",1994,8,13,3,Baloncesto
41866,Dagur Jonsson,"Feb 15, 1995",1995,2,15,1,Baloncesto
41867,Milan Stegnjaic,"Apr 5, 1981",1981,4,5,2,Baloncesto
41868,Jaren Sina,"Mar 12, 1994",1994,3,12,1,Baloncesto
41871,Petar Cosic,"Apr 10, 1985",1985,4,10,2,Baloncesto
41874,Filip Mileta,"Nov 19, 1996",1996,11,19,4,Baloncesto
41882,Fabian Richter,"Apr 11, 1995",1995,4,11,2,Baloncesto
41885,Christoph Greimeister,"May 12, 1990",1990,5,12,2,Baloncesto
41886,Matthias Linortner,"Jan 31, 1997",1997,1,31,1,Baloncesto
41890,Marino Sarlija,"Jan 13, 1989",1989,1,13,1,Baloncesto
41892,Julien Horberg,"Oct 4, 1999",1999,10,4,4,Baloncesto
41894,Tobias Schrittwieser,"Oct 14, 1996",1996,10,14,4,Baloncesto
41896,Hannes Ochsenhofer,"Aug 3, 1985",1985,8,3,3,Baloncesto
41898,Roland Reinelt,"Jul 11, 1998",1998,7,11,3,Baloncesto
41899,Jakob Ernst,"Feb 17, 1998",1998,2,17,1,Baloncesto
41900,David Heuberger,"Dec 18, 1992",1992,12,18,4,Baloncesto
41902,Emils Surums,"Aug 31, 1993",1993,8,31,3,Baloncesto
41904,Timur Bas,"Dec 29, 1994",1994,12,29,4,Baloncesto
41905,Laurence Mueller,"Aug 13, 1994",1994,8,13,3,Baloncesto
41906,Ibrahim Alisic,"Aug 16, 1997",1997,8,16,3,Baloncesto
41911,Endrit Hysenagolli,"Jul 5, 1988",1988,7,5,3,Baloncesto
41920,Bojan Bakic,"Jan 8, 1983",1983,1,8,1,Baloncesto
41924,Vladimir Ivanov,"Nov 30, 1994",1994,11,30,4,Baloncesto
41930,Genti Lasku,"Mar 24, 1985",1985,3,24,1,Baloncesto
41936,Dmitriy Klimov,"Sep 5, 1988",1988,9,5,3,Baloncesto
41939,Kristi Gorea,"Jan 2, 1997",1997,1,2,1,Baloncesto
41946,Pavel Ilin,"May 24, 1992",1992,5,24,2,Baloncesto
41951,Ilyas Zhunussov,"Aug 1, 1998",1998,8,1,3,Baloncesto
41954,Mikhail Yevstigneev,"Jul 5, 1984",1984,7,5,3,Baloncesto
41958,Ilya Sharipov,"Nov 24, 1991",1991,11,24,4,Baloncesto
41965,Yuriy Ignatiev,"Mar 30, 1991",1991,3,30,1,Baloncesto
41967,Andrei Rogozenko,"Jul 13, 1997",1997,7,13,3,Baloncesto
41971,Valentin Nazarau,"Feb 11, 1997",1997,2,11,1,Baloncesto
41973,Alex Tsynkevich,"Oct 23, 2001",2001,10,23,4,Baloncesto
41978,Maxim Lutych,"Apr 1, 1997",1997,4,1,2,Baloncesto
41988,Ivan Aladka,"Feb 9, 1995",1995,2,9,1,Baloncesto
41989,Jan Marynin,"Jan 24, 2001",2001,1,24,1,Baloncesto
41991,Pavel Kadol,"Apr 4, 1989",1989,4,4,2,Baloncesto
41994,Denis Pastukhov,"Apr 3, 1991",1991,4,3,2,Baloncesto
41996,Aleksandr Tur,"Aug 5, 1996",1996,8,5,3,Baloncesto
41997,Sergey Zarovskiy,"Apr 26, 1988",1988,4,26,2,Baloncesto
41999,Anton Vashkevich,"Mar 23, 1994",1994,3,23,1,Baloncesto
